Date,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,adenot,adeno,parat,para,Rhinot,Rhino,hMPVt,hMPV,Coronat,Corona,,,,,,,,,,,,,,
7-Sep-03,0,0,0,29,29,0,29,0,29,1,,,,,,,,,,,,,,,,,,,,
14-Sep-03,0,0,0,22,22,0,22,1,22,0,,,,,,,,,,,,,,,,,,,,
21-Sep-03,0,0,0,35,35,0,35,1,35,0,,,,,,,,,,,,,,,,,,,,
28-Sep-03,0,0,0,29,29,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,
5-Oct-03,0,0,0,35,35,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,
12-Oct-03,0,0,0,22,22,0,22,0,22,1,,,,,,,,,,,,,,,,,,,,
19-Oct-03,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
26-Oct-03,1,1,2,43,43,1,43,0,43,2,,,,,,,,,,,,,,,,,,,,
2-Nov-03,21,0,21,67,67,0,67,3,67,4,,,,,,,,,,,,,,,,,,,,
9-Nov-03,27,0,27,156,156,0,156,1,156,1,,,,,,,,,,,,,,,,,,,,
16-Nov-03,76,0,76,291,291,1,291,2,291,3,,,,,,,,,,,,,,,,,,,,
23-Nov-03,94,0,94,255,255,0,255,0,255,5,,,,,,,,,,,,,,,,,,,,
30-Nov-03,136,0,136,322,322,1,322,0,322,0,,,,,,,,,,,,,,,,,,,,
7-Dec-03,152,0,152,339,339,3,339,0,339,2,,,,,,,,,,,,,,,,,,,,
14-Dec-03,55,0,55,287,287,0,287,2,287,12,,,,,,,,,,,,,,,,,,,,
21-Dec-03,43,0,43,232,232,1,232,2,232,0,,,,,,,,,,,,,,,,,,,,
28-Dec-03,96,0,96,215,215,0,215,3,215,12,,,,,,,,,,,,,,,,,,,,
4-Jan-04,43,0,43,168,168,1,168,6,168,3,,,,,,,,,,,,,,,,,,,,
11-Jan-04,18,0,18,178,178,1,178,0,178,6,,,,,,,,,,,,,,,,,,,,
18-Jan-04,13,0,13,146,146,2,146,1,146,4,,,,,,,,,,,,,,,,,,,,
25-Jan-04,6,0,6,124,124,3,124,1,124,0,,,,,,,,,,,,,,,,,,,,
1-Feb-04,5,0,5,120,120,0,120,0,120,4,,,,,,,,,,,,,,,,,,,,
8-Feb-04,0,0,0,140,140,3,140,0,140,1,,,,,,,,,,,,,,,,,,,,
15-Feb-04,5,0,5,108,108,2,108,0,108,1,,,,,,,,,,,,,,,,,,,,
22-Feb-04,2,0,2,114,114,2,114,2,114,2,,,,,,,,,,,,,,,,,,,,
29-Feb-04,2,0,2,88,88,4,88,2,88,2,,,,,,,,,,,,,,,,,,,,
7-Mar-04,1,1,2,78,78,6,78,1,78,4,,,,,,,,,,,,,,,,,,,,
14-Mar-04,0,0,0,78,78,1,78,0,78,1,,,,,,,,,,,,,,,,,,,,
21-Mar-04,1,0,1,70,70,2,70,1,70,2,,,,,,,,,,,,,,,,,,,,
28-Mar-04,0,0,0,103,103,4,103,2,103,3,,,,,,,,,,,,,,,,,,,,
4-Apr-04,1,0,1,56,56,2,56,0,56,0,,,,,,,,,,,,,,,,,,,,
11-Apr-04,0,0,0,117,117,4,117,1,117,4,,,,,,,,,,,,,,,,,,,,
18-Apr-04,0,0,0,87,87,7,87,0,87,0,,,,,,,,,,,,,,,,,,,,
25-Apr-04,5,0,5,61,61,3,61,1,61,3,,,,,,,,,,,,,,,,,,,,
2-May-04,2,0,2,66,66,2,66,2,66,4,,,,,,,,,,,,,,,,,,,,
9-May-04,0,0,0,59,59,1,59,1,59,2,,,,,,,,,,,,,,,,,,,,
16-May-04,0,0,0,83,83,2,83,1,83,5,,,,,,,,,,,,,,,,,,,,
23-May-04,0,0,0,52,52,1,52,1,52,2,,,,,,,,,,,,,,,,,,,,
30-May-04,0,0,0,21,21,1,21,0,21,3,,,,,,,,,,,,,,,,,,,,
6-Jun-04,1,0,1,25,25,2,25,2,25,1,,,,,,,,,,,,,,,,,,,,
13-Jun-04,0,0,0,33,33,1,33,0,33,3,,,,,,,,,,,,,,,,,,,,
20-Jun-04,1,0,1,22,22,0,22,1,22,1,,,,,,,,,,,,,,,,,,,,
27-Jun-04,0,0,0,6,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,
4-Jul-04,0,0,0,10,10,1,10,0,10,0,,,,,,,,,,,,,,,,,,,,
11-Jul-04,0,0,0,15,15,1,15,0,15,0,,,,,,,,,,,,,,,,,,,,
18-Jul-04,1,0,1,12,12,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,
25-Jul-04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1-Aug-04,0,0,0,12,12,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,
8-Aug-04,1,0,1,7,7,0,7,2,7,1,,,,,,,,,,,,,,,,,,,,
15-Aug-04,1,0,1,11,11,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,
22-Aug-04,2,0,2,12,12,0,12,0,12,1,,,,,,,,,,,,,,,,,,,,
29-Aug-04,0,0,0,22,22,1,22,0,22,0,,,,,,,,,,,,,,,,,,,,
5-Sep-04,0,0,0,12,12,1,12,0,12,0,,,,,,,,,,,,,,,,,,,,
12-Sep-04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
19-Sep-04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
26-Sep-04,3,0,3,35,35,1,35,0,35,0,,,,,,,,,,,,,,,,,,,,
3-Oct-04,0,0,0,52,52,0,52,2,52,0,,,,,,,,,,,,,,,,,,,,
10-Oct-04,0,0,0,69,69,1,69,2,69,0,,,,,,,,,,,,,,,,,,,,
17-Oct-04,1,0,1,99,99,0,99,0,99,1,,,,,,,,,,,,,,,,,,,,
24-Oct-04,8,0,8,73,73,0,73,2,73,2,,,,,,,,,,,,,,,,,,,,
31-Oct-04,10,0,10,82,82,2,82,0,82,0,,,,,,,,,,,,,,,,,,,,
7-Nov-04,2,0,2,81,81,0,81,0,81,1,,,,,,,,,,,,,,,,,,,,
14-Nov-04,8,0,8,77,77,0,77,1,77,3,,,,,,,,,,,,,,,,,,,,
21-Nov-04,6,0,6,106,106,3,106,1,106,1,,,,,,,,,,,,,,,,,,,,
28-Nov-04,8,0,8,99,99,6,99,0,99,3,,,,,,,,,,,,,,,,,,,,
5-Dec-04,9,0,9,128,128,3,128,1,128,1,,,,,,,,,,,,,,,,,,,,
12-Dec-04,22,2,24,122,122,6,122,1,122,2,,,,,,,,,,,,,,,,,,,,
19-Dec-04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
26-Dec-04,14,0,14,138,138,1,138,2,138,1,,,,,,,,,,,,,,,,,,,,
2-Jan-05,44,0,44,197,197,15,197,1,197,0,,,,,,,,,,,,,,,,,,,,
9-Jan-05,27,0,27,252,252,1,252,4,252,5,,,,,,,,,,,,,,,,,,,,
16-Jan-05,22,0,22,230,230,0,230,2,230,0,,,,,,,,,,,,,,,,,,,,
23-Jan-05,106,0,106,198,198,9,148,2,198,3,,,,,,,,,,,,,,,,,,,,
30-Jan-05,45,1,46,174,174,7,174,3,174,1,,,,,,,,,,,,,,,,,,,,
6-Feb-05,37,3,40,201,201,6,201,2,201,4,,,,,,,,,,,,,,,,,,,,
13-Feb-05,32,2,34,168,168,10,168,1,168,0,,,,,,,,,,,,,,,,,,,,
20-Feb-05,20,0,20,176,176,8,176,3,176,4,,,,,,,,,,,,,,,,,,,,
27-Feb-05,37,7,44,226,226,21,226,2,226,2,,,,,,,,,,,,,,,,,,,,
6-Mar-05,14,13,27,157,157,15,157,8,157,0,,,,,,,,,,,,,,,,,,,,
13-Mar-05,6,4,10,100,100,14,100,5,100,1,,,,,,,,,,,,,,,,,,,,
20-Mar-05,5,8,13,102,102,3,102,0,102,0,,,,,,,,,,,,,,,,,,,,
27-Mar-05,5,2,7,86,86,2,86,4,86,1,,,,,,,,,,,,,,,,,,,,
3-Apr-05,5,4,9,78,78,3,78,1,78,0,,,,,,,,,,,,,,,,,,,,
10-Apr-05,1,3,4,61,61,1,61,1,61,1,,,,,,,,,,,,,,,,,,,,
17-Apr-05,2,5,7,92,92,4,92,2,92,1,,,,,,,,,,,,,,,,,,,,
24-Apr-05,1,2,3,95,95,0,95,0,95,0,,,,,,,,,,,,,,,,,,,,
1-May-05,1,7,8,96,96,0,96,5,96,5,,,,,,,,,,,,,,,,,,,,
8-May-05,0,2,2,44,44,1,44,4,44,4,,,,,,,,,,,,,,,,,,,,
15-May-05,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
22-May-05,1,0,1,69,69,0,69,2,69,1,,,,,,,,,,,,,,,,,,,,
29-May-05,1,1,2,40,40,0,40,2,40,0,,,,,,,,,,,,,,,,,,,,
5-Jun-05,2,0,2,35,35,0,35,5,35,3,,,,,,,,,,,,,,,,,,,,
12-Jun-05,0,0,0,38,38,0,38,3,38,4,,,,,,,,,,,,,,,,,,,,
19-Jun-05,1,0,1,28,28,0,28,0,28,2,,,,,,,,,,,,,,,,,,,,
26-Jun-05,2,0,2,55,55,0,55,2,55,0,,,,,,,,,,,,,,,,,,,,
3-Jul-05,0,0,0,27,27,0,27,2,27,3,,,,,,,,,,,,,,,,,,,,
10-Jul-05,0,0,0,21,21,0,21,0,21,3,,,,,,,,,,,,,,,,,,,,
17-Jul-05,1,0,1,42,42,0,42,0,42,0,,,,,,,,,,,,,,,,,,,,
24-Jul-05,0,0,0,40,40,0,40,0,40,0,,,,,,,,,,,,,,,,,,,,
31-Jul-05,0,0,0,22,22,1,22,0,22,2,,,,,,,,,,,,,,,,,,,,
7-Aug-05,0,0,0,26,26,0,26,1,26,1,,,,,,,,,,,,,,,,,,,,
14-Aug-05,0,0,0,21,21,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,
21-Aug-05,4,0,4,36,36,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,
28-Aug-05,0,0,0,46,46,0,46,0,46,0,,,,,,,,,,,,,,,,,,,,
