Date,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,adenot,adeno,parat,para,Rhinot,Rhino,hMPVt,hMPV,Coronat,Corona,,,,,,,,,,,,,,,
7-Sep-03,2,0,2,580,623,4,552,11,594,6,,,,,,,,,,,,,,,,,,,,,
14-Sep-03,0,1,1,599,670,2,567,3,623,16,,,,,,,,,,,,,,,,,,,,,
21-Sep-03,5,0,5,764,806,6,688,13,758,13,,,,,,,,,,,,,,,,,,,,,
28-Sep-03,35,0,35,824,854,4,695,10,778,18,,,,,,,,,,,,,,,,,,,,,
5-Oct-03,42,0,42,876,743,2,717,3,780,24,,,,,,,,,,,,,,,,,,,,,
12-Oct-03,87,0,87,1023,1039,4,842,13,957,20,,,,,,,,,,,,,,,,,,,,,
19-Oct-03,165,0,165,1416,1382,8,1121,12,1267,30,,,,,,,,,,,,,,,,,,,,,
26-Oct-03,238,1,239,1597,1475,12,1263,14,1410,59,,,,,,,,,,,,,,,,,,,,,
2-Nov-03,381,0,381,1954,1832,8,1486,23,1656,61,,,,,,,,,,,,,,,,,,,,,
9-Nov-03,388,0,388,1811,1680,15,1384,18,1587,42,,,,,,,,,,,,,,,,,,,,,
16-Nov-03,432,0,432,2486,2425,28,2101,21,2254,66,,,,,,,,,,,,,,,,,,,,,
23-Nov-03,462,0,462,2567,2511,34,2228,18,2367,90,,,,,,,,,,,,,,,,,,,,,
30-Nov-03,490,0,490,2894,2788,50,2505,22,2627,72,,,,,,,,,,,,,,,,,,,,,
7-Dec-03,691,0,691,3983,3790,63,3438,44,3556,92,,,,,,,,,,,,,,,,,,,,,
14-Dec-03,835,10,845,4798,4471,84,3880,28,4180,92,,,,,,,,,,,,,,,,,,,,,
21-Dec-03,1223,9,1232,3682,3357,101,3124,26,3206,93,,,,,,,,,,,,,,,,,,,,,
28-Dec-03,833,1,834,3389,2960,119,2679,42,2685,98,,,,,,,,,,,,,,,,,,,,,
4-Jan-04,693,6,699,3691,3158,129,2814,29,2895,80,,,,,,,,,,,,,,,,,,,,,
11-Jan-04,632,0,632,3335,2754,152,2445,42,2516,91,,,,,,,,,,,,,,,,,,,,,
18-Jan-04,591,1,592,3160,2404,180,2036,37,2094,63,,,,,,,,,,,,,,,,,,,,,
25-Jan-04,465,0,465,3182,2483,262,2035,31,2041,33,,,,,,,,,,,,,,,,,,,,,
1-Feb-04,483,4,487,3284,2456,363,1940,24,1994,47,,,,,,,,,,,,,,,,,,,,,
8-Feb-04,356,5,361,2977,2437,449,1777,21,1842,32,,,,,,,,,,,,,,,,,,,,,
15-Feb-04,273,1,274,2699,2138,387,1734,18,1742,46,,,,,,,,,,,,,,,,,,,,,
22-Feb-04,190,7,197,2812,2485,544,1842,27,1912,40,,,,,,,,,,,,,,,,,,,,,
29-Feb-04,145,17,162,2511,2299,489,1761,31,1838,32,,,,,,,,,,,,,,,,,,,,,
7-Mar-04,89,8,97,2459,2479,486,1774,91,1833,49,,,,,,,,,,,,,,,,,,,,,
14-Mar-04,58,12,70,2156,2271,527,1610,24,1686,53,,,,,,,,,,,,,,,,,,,,,
21-Mar-04,24,13,37,1745,1899,365,1324,33,1407,64,,,,,,,,,,,,,,,,,,,,,
28-Mar-04,20,11,31,1683,1774,342,1371,24,1456,69,,,,,,,,,,,,,,,,,,,,,
4-Apr-04,10,9,19,1342,1534,269,1089,19,1169,61,,,,,,,,,,,,,,,,,,,,,
11-Apr-04,8,12,20,1528,1714,249,1262,31,1352,68,,,,,,,,,,,,,,,,,,,,,
18-Apr-04,10,5,15,1381,1599,212,1212,27,1275,79,,,,,,,,,,,,,,,,,,,,,
25-Apr-04,7,2,9,1260,1479,175,1097,26,1192,66,,,,,,,,,,,,,,,,,,,,,
2-May-04,6,2,8,1107,1252,109,978,27,1052,62,,,,,,,,,,,,,,,,,,,,,
9-May-04,9,0,9,1103,1098,84,868,34,914,67,,,,,,,,,,,,,,,,,,,,,
16-May-04,7,2,9,915,1058,62,829,16,878,57,,,,,,,,,,,,,,,,,,,,,
23-May-04,1,2,3,650,843,44,666,22,715,60,,,,,,,,,,,,,,,,,,,,,
30-May-04,2,1,3,693,763,43,696,24,762,58,,,,,,,,,,,,,,,,,,,,,
6-Jun-04,4,2,6,609,684,29,641,25,691,52,,,,,,,,,,,,,,,,,,,,,
13-Jun-04,1,1,2,575,663,32,616,15,661,39,,,,,,,,,,,,,,,,,,,,,
20-Jun-04,1,0,1,537,610,11,562,17,613,28,,,,,,,,,,,,,,,,,,,,,
27-Jun-04,2,0,2,422,480,14,454,13,486,15,,,,,,,,,,,,,,,,,,,,,
4-Jul-04,0,0,0,444,487,11,485,16,508,19,,,,,,,,,,,,,,,,,,,,,
11-Jul-04,0,0,0,420,474,14,438,18,467,13,,,,,,,,,,,,,,,,,,,,,
18-Jul-04,1,0,1,429,453,10,395,20,423,11,,,,,,,,,,,,,,,,,,,,,
25-Jul-04,1,0,1,393,430,7,428,23,463,9,,,,,,,,,,,,,,,,,,,,,
1-Aug-04,0,0,0,286,299,2,290,18,317,11,,,,,,,,,,,,,,,,,,,,,
8-Aug-04,1,0,1,433,465,1,475,20,498,5,,,,,,,,,,,,,,,,,,,,,
15-Aug-04,2,0,2,374,389,0,387,8,422,7,,,,,,,,,,,,,,,,,,,,,
22-Aug-04,2,0,2,498,523,0,508,18,543,5,,,,,,,,,,,,,,,,,,,,,
29-Aug-04,0,0,0,404,428,4,427,6,461,10,,,,,,,,,,,,,,,,,,,,,
5-Sep-04,0,0,0,440,461,7,426,4,480,7,,,,,,,,,,,,,,,,,,,,,
12-Sep-04,1,1,2,558,575,5,558,8,596,4,,,,,,,,,,,,,,,,,,,,,
19-Sep-04,1,1,2,559,659,1,593,12,627,5,,,,,,,,,,,,,,,,,,,,,
26-Sep-04,3,0,3,791,948,7,814,14,842,6,,,,,,,,,,,,,,,,,,,,,
3-Oct-04,4,0,4,776,906,4,760,21,796,8,,,,,,,,,,,,,,,,,,,,,
10-Oct-04,8,0,8,933,1005,6,858,29,923,9,,,,,,,,,,,,,,,,,,,,,
17-Oct-04,2,0,2,1139,1184,33,1025,33,1028,8,,,,,,,,,,,,,,,,,,,,,
24-Oct-04,14,0,14,1108,1154,6,996,30,1048,7,,,,,,,,,,,,,,,,,,,,,
31-Oct-04,15,0,15,1032,1062,13,931,27,965,10,,,,,,,,,,,,,,,,,,,,,
7-Nov-04,8,1,9,1039,1109,25,929,54,983,21,,,,,,,,,,,,,,,,,,,,,
14-Nov-04,27,0,27,1275,1367,25,1162,31,1196,23,,,,,,,,,,,,,,,,,,,,,
21-Nov-04,31,0,31,1273,1364,31,1136,51,1176,18,,,,,,,,,,,,,,,,,,,,,
28-Nov-04,34,1,35,1299,1393,70,1178,43,1209,22,,,,,,,,,,,,,,,,,,,,,
5-Dec-04,81,1,82,1493,1505,94,1199,70,1316,23,,,,,,,,,,,,,,,,,,,,,
12-Dec-04,129,4,133,1503,1354,125,1177,42,1139,27,,,,,,,,,,,,,,,,,,,,,
19-Dec-04,278,2,280,1718,1312,164,987,55,1168,15,,,,,,,,,,,,,,,,,,,,,
