Date,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,adenot,adeno,parat,para,Rhinot,Rhino,hMPVt,hMPV,Coronat,Corona,,,,,,,,,,,,,,
7-Sep-03,0,0,0,73,113,4,79,1,98,0,,,,,,,,,,,,,,,,,,,,
14-Sep-03,0,1,1,92,136,2,104,0,129,4,,,,,,,,,,,,,,,,,,,,
21-Sep-03,0,0,0,104,167,6,115,5,145,3,,,,,,,,,,,,,,,,,,,,
28-Sep-03,0,0,0,96,142,4,102,2,123,6,,,,,,,,,,,,,,,,,,,,
5-Oct-03,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12-Oct-03,0,0,0,139,219,3,139,1,177,6,,,,,,,,,,,,,,,,,,,,
19-Oct-03,0,0,0,151,231,5,137,6,172,6,,,,,,,,,,,,,,,,,,,,
26-Oct-03,0,0,0,127,219,6,127,1,166,11,,,,,,,,,,,,,,,,,,,,
2-Nov-03,0,0,0,168,233,5,137,3,170,5,,,,,,,,,,,,,,,,,,,,
9-Nov-03,1,0,1,145,222,6,130,12,164,6,,,,,,,,,,,,,,,,,,,,
16-Nov-03,1,0,1,201,275,16,152,8,190,7,,,,,,,,,,,,,,,,,,,,
23-Nov-03,5,0,5,168,240,9,135,8,169,11,,,,,,,,,,,,,,,,,,,,
30-Nov-03,6,0,6,217,239,23,133,8,172,3,,,,,,,,,,,,,,,,,,,,
7-Dec-03,12,0,12,312,316,19,175,11,217,14,,,,,,,,,,,,,,,,,,,,
14-Dec-03,36,2,38,417,348,40,192,10,236,5,,,,,,,,,,,,,,,,,,,,
21-Dec-03,65,0,65,489,318,32,211,6,232,7,,,,,,,,,,,,,,,,,,,,
28-Dec-03,142,0,142,664,370,51,208,15,225,7,,,,,,,,,,,,,,,,,,,,
4-Jan-04,175,0,175,801,496,66,282,7,303,8,,,,,,,,,,,,,,,,,,,,
11-Jan-04,219,0,219,886,495,73,305,7,315,9,,,,,,,,,,,,,,,,,,,,
18-Jan-04,299,1,300,1200,535,85,319,8,319,7,,,,,,,,,,,,,,,,,,,,
25-Jan-04,345,0,345,1308,654,116,411,8,410,1,,,,,,,,,,,,,,,,,,,,
1-Feb-04,404,4,408,1475,717,144,400,5,379,5,,,,,,,,,,,,,,,,,,,,
8-Feb-04,325,4,329,1427,799,196,414,5,411,7,,,,,,,,,,,,,,,,,,,,
15-Feb-04,238,0,238,1301,739,192,392,7,401,12,,,,,,,,,,,,,,,,,,,,
22-Feb-04,163,6,169,1147,727,222,378,5,374,10,,,,,,,,,,,,,,,,,,,,
29-Feb-04,131,14,145,1009,740,211,424,13,423,5,,,,,,,,,,,,,,,,,,,,
7-Mar-04,75,7,82,915,715,223,386,11,385,6,,,,,,,,,,,,,,,,,,,,
14-Mar-04,52,9,61,693,611,193,297,9,297,9,,,,,,,,,,,,,,,,,,,,
21-Mar-04,21,6,27,534,475,130,250,14,255,8,,,,,,,,,,,,,,,,,,,,
28-Mar-04,15,8,23,431,465,114,244,7,260,3,,,,,,,,,,,,,,,,,,,,
4-Apr-04,4,6,10,404,425,103,246,5,259,7,,,,,,,,,,,,,,,,,,,,
11-Apr-04,3,7,10,355,386,80,214,11,224,6,,,,,,,,,,,,,,,,,,,,
18-Apr-04,6,4,10,255,314,50,182,7,192,17,,,,,,,,,,,,,,,,,,,,
25-Apr-04,1,1,2,237,283,30,183,9,205,10,,,,,,,,,,,,,,,,,,,,
2-May-04,0,1,1,207,252,29,176,8,182,7,,,,,,,,,,,,,,,,,,,,
9-May-04,0,0,0,155,196,26,117,3,121,6,,,,,,,,,,,,,,,,,,,,
16-May-04,0,1,1,120,203,20,133,1,136,9,,,,,,,,,,,,,,,,,,,,
23-May-04,0,0,0,110,178,13,131,6,136,10,,,,,,,,,,,,,,,,,,,,
30-May-04,0,1,1,108,156,15,111,10,111,8,,,,,,,,,,,,,,,,,,,,
6-Jun-04,0,2,2,88,135,5,101,4,98,10,,,,,,,,,,,,,,,,,,,,
13-Jun-04,0,0,0,82,138,4,108,5,109,7,,,,,,,,,,,,,,,,,,,,
20-Jun-04,0,0,0,81,135,6,104,2,107,5,,,,,,,,,,,,,,,,,,,,
27-Jun-04,0,0,0,92,134,5,121,2,121,2,,,,,,,,,,,,,,,,,,,,
4-Jul-04,0,0,0,81,100,0,95,5,95,4,,,,,,,,,,,,,,,,,,,,
11-Jul-04,0,0,0,63,90,0,76,1,76,1,,,,,,,,,,,,,,,,,,,,
18-Jul-04,0,0,0,88,110,2,99,7,98,1,,,,,,,,,,,,,,,,,,,,
25-Jul-04,0,0,0,84,117,0,107,5,107,1,,,,,,,,,,,,,,,,,,,,
1-Aug-04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8-Aug-04,0,0,0,57,77,0,72,3,72,0,,,,,,,,,,,,,,,,,,,,
15-Aug-04,0,0,0,80,95,0,91,3,91,0,,,,,,,,,,,,,,,,,,,,
