"","year","illness","var","type","corr","p.val","lag"
"1","-1","Influenza","Total test frequency","Spearman","0.785761155285256","4.69372636542125e-131","0"
"2","-1","Influenza","Postive test frequency","Spearman","0.770126455454521","8.96714146447453e-123","0"
"3","-1","RSV","Total test frequency","Spearman","0.808474851068175","2.06805702747153e-144","0"
"4","-1","RSV","Postive test frequency","Spearman","0.735982439394898","8.76713691204702e-107","0"
"5","-1","Adenovirus","Total test frequency","Spearman","0.78279103796522","1.98354078417375e-129","0"
"6","-1","Adenovirus","Postive test frequency","Spearman","0.619400302560935","5.86652485067752e-67","0"
"7","-1","Parainfluenza","Total test frequency","Spearman","0.804028921416982","1.16729092865782e-141","0"
"8","-1","Parainfluenza","Postive test frequency","Spearman","0.350118715031948","2.55757197032114e-19","0"
"9","-1","Rhinovirus","Total test frequency","Spearman","0.904757121103784","6.3449773065206e-78","0"
"10","-1","Rhinovirus","Postive test frequency","Spearman","0.141027233001196","0.0426743813159754","0"
"11","-1","hMPV","Total test frequency","Spearman","0.887676944927548","5.65412180240096e-71","0"
"12","-1","hMPV","Postive test frequency","Spearman","0.494885567104927","3.46377581008542e-14","0"
"13","-1","Coronavirus","Total test frequency","Spearman","0.891537335464602","1.92579818930352e-72","0"
"14","-1","Coronavirus","Postive test frequency","Spearman","0.808932694568206","3.49881158879103e-49","0"
"15","2003","Influenza","Total test frequency","Spearman","0.991208791208791",NA,"0"
"16","2004","Influenza","Total test frequency","Spearman","0.754989221319872",NA,"0"
"17","2005","Influenza","Total test frequency","Spearman","0.901131270010672",NA,"0"
"18","2006","Influenza","Total test frequency","Spearman","0.900276170884635",NA,"0"
"19","2007","Influenza","Total test frequency","Spearman","0.924121150239319",NA,"0"
"20","2008","Influenza","Total test frequency","Spearman","0.870418988053387",NA,"0"
"21","2009","Influenza","Total test frequency","Spearman","0.364210706053103",NA,"0"
"22","2010","Influenza","Total test frequency","Spearman","0.943564567769477",NA,"0"
"23","2011","Influenza","Total test frequency","Spearman","0.898550724842361",NA,"0"
"24","2012","Influenza","Total test frequency","Spearman","0.858064386248889",NA,"0"
"25","2013","Influenza","Total test frequency","Spearman","0.908733885426449",NA,"0"
"26","2014","Influenza","Total test frequency","Spearman","0.940578844019466",NA,"0"
"27","2015","Influenza","Total test frequency","Spearman","0.9908357771261",NA,"0"
"28","2003","Influenza","Positive test frequency","Spearman","0.991208791208791",NA,"0"
"29","2004","Influenza","Positive test frequency","Spearman","0.783243928243356",NA,"0"
"30","2005","Influenza","Positive test frequency","Spearman","0.793514662504607",NA,"0"
"31","2006","Influenza","Positive test frequency","Spearman","0.752676344391878",NA,"0"
"32","2007","Influenza","Positive test frequency","Spearman","0.779771165038372",NA,"0"
"33","2008","Influenza","Positive test frequency","Spearman","0.7518968902205",NA,"0"
"34","2009","Influenza","Positive test frequency","Spearman","0.398540052597666",NA,"0"
"35","2010","Influenza","Positive test frequency","Spearman","0.793661022994601",NA,"0"
